cardname,cardq,cardid,cardrarity,cardcondition,card_edition,cardset,cardcode
Hieracosphinx,3,82260502,Common,M,Unlimited,Structure Deck: Invincible Fortress,SD7-EN009
Hieratic Dragon of Eset,3,4022819,Common,M,Unlimited,Galactic Overlord,GAOV-EN020
Hieratic Dragon of Nebthet,3,31516413,Common,M,Unlimited,Galactic Overlord,GAOV-EN021
Hieratic Dragon of Nuit,3,41639001,Common,M,Unlimited,Galactic Overlord,GAOV-EN018
Hieratic Dragon of Su,3,3300267,Common,M,Unlimited,Galactic Overlord,GAOV-EN023
Hieratic Dragon of Tefnuit,3,77901552,Common,M,Unlimited,Structure Deck: Saga of Blue-Eyes White Dragon,SDBE-EN010
Hieratic Seal of Supremacy,3,51365514,Common,M,Unlimited,Galactic Overlord,GAOV-EN057
Hieratic Seal of the Dragon King,3,64514622,Common,M,Unlimited,Galactic Overlord,GAOV-EN082
Hieratic Seal of the Sun Dragon Overlord,3,13140300,Common,M,Unlimited,Galactic Overlord,GAOV-EN002
Hieroglyph Lithograph,3,10248192,Common,M,Unlimited,Pharaonic Guardian,PGD-086
High Tide Gyojin,3,54579801,Common,M,Unlimited,Speed Duel: Attack from the Deep,SBAD-EN022
High Tide on Fire Island,3,32542011,Common,M,Unlimited,Lord of the Tachyon Galaxy,LTGY-EN078
Hiita the Fire Charmer,3,759393,Common,M,Unlimited,The Lost Millennium,TLM-EN028
"Hiita the Fire Charmer, Ablaze",3,48815792,Common,M,Unlimited,2020 Tin of Lost Memories Mega Pack,MP20-EN024
Hinezumi Hanabi,3,71459017,Common,M,Unlimited,Phantom Rage,PHRA-EN029
Hinotama,3,46130346,Common,M,Unlimited,Dark Beginning 1,DB1-EN116
Hippo Carnival,3,18027138,Common,M,Unlimited,Duelist Alliance,DUEA-EN055
Hiro's Shadow Scout,3,81863068,Common,M,Unlimited,Dark Beginning 1,DB1-EN012
Hitotsu-Me Giant,3,76184692,Common,M,Unlimited,Starter Deck: Kaiba,SDK-002
Hiyari @Ignister,3,41306080,Common,M,Unlimited,Ignition Assault,IGAS-EN005
Holding Arms,3,43730887,Common,M,Unlimited,Legendary Duelists: Rage of Ra,LED7-EN010
Holding Legs,3,70124586,Common,M,Unlimited,Legendary Duelists: Rage of Ra,LED7-EN011
Homunculus the Alchemic Being,3,40410110,Common,M,Unlimited,Rise of Destiny,RDS-EN034
Honest,3,37742478,Common,M,Unlimited,Structure Deck: Saga of Blue-Eyes White Dragon,SDBE-EN017
Honeybot,3,34472920,Common,M,Unlimited,Star Pack VRAINS,SP18-EN033
Hop Ear Squadron,3,1980574,Common,M,Unlimited,2020 Tin of Lost Memories Mega Pack,MP20-EN164
Hope for Escape,3,80036543,Common,M,Unlimited,Structure Deck: Pendulum Domination,SDPD-EN040
Horn of Light,3,38552107,Common,M,Unlimited,Dark Beginning 1,DB1-EN004
Horn of Olifant,3,55749927,Common,M,Unlimited,Rise of the Duelist,ROTD-EN072
Horn of the Phantom Beast,3,21350571,Common,M,Unlimited,OTS Tournament Pack 4,OP04-EN027
Horn of the Unicorn,3,64047146,Common,M,Unlimited,Battle Pack: Epic Dawn,BP01-EN069
Horseytail,3,82994509,Common,M,Unlimited,Crossroads of Chaos,CSOC-EN026
Horus the Black Flame Dragon LV4,3,75830094,Common,M,Unlimited,Legendary Collection 3: Yugi's World,LCYW-EN197
Horus the Black Flame Dragon LV6,3,11224103,Common,M,Unlimited,Legendary Collection 3: Yugi's World,LCYW-EN198
Horus the Black Flame Dragon LV8,3,48229808,Common,M,Unlimited,Legendary Collection 3: Yugi's World,LCYW-EN199
Horus' Servant,3,9264485,Common,M,Unlimited,Dark Revelation Volume 3,DR3-EN016
Hoshiningen,3,67629977,Common,M,Unlimited,Dark Beginning 2,DB2-EN060
Hourglass of Courage,3,43530283,Common,M,Unlimited,Storm of Ragnarok,STOR-EN091
House Duston,3,40343749,Common,M,Unlimited,Abyss Rising,ABYR-EN036
Howl of the Wild,3,97922283,Common,M,Unlimited,Speed Duel: Battle City Box,SBCB-EN060
Howling Insect,3,93107608,Common,M,Unlimited,Dark Revelation Volume 3,DR3-EN025
"Hraesvelgr, the Desperate Doom Eagle",3,49105782,Common,M,Unlimited,2020 Tin of Lost Memories Mega Pack,MP20-EN141
Huge Revolution,3,65396880,Common,M,Unlimited,Dark Revelation Volume 1,DR1-EN096
Human-Wave Tactics,3,30353551,Common,M,Unlimited,Dark Revelation Volume 2,DR2-EN217
Humanoid Slime,3,46821314,Common,M,Unlimited,Dark Beginning 1,DB1-EN207
Humanoid Worm Drake,3,5600127,Common,M,Unlimited,Dark Beginning 1,DB1-EN209
Humid Winds,3,92266279,Common,M,Unlimited,2016 Mega-Tin Mega Pack,MP16-EN092
Hundred-Footed Horror,3,36029076,Common,M,Unlimited,Primal Origin,PRIO-EN099
Hunter Dragon,3,96005454,Common,M,Unlimited,Super Starter: Space-Time Showdown,YS14-EN003
Hunter of Black Feathers,3,73018302,Common,M,Unlimited,The Shining Darkness,TSHD-EN038
Hunter Owl,3,51962254,Common,M,Unlimited,Structure Deck: Dragunity Legion,SDDL-EN013
Hunting Instinct,3,11925569,Common,M,Unlimited,Legendary Collection 4: Joey's World,LCJW-EN166
Hushed Psychic Cleric,3,25343017,Common,M,Unlimited,High-Speed Riders,HSRD-EN050
Hydra Viper,3,37869028,Common,M,Unlimited,Crimson Crisis,CRMS-EN037
Hydro Pressure Cannon,3,12174035,Common,M,Unlimited,Ancient Prophecy,ANPR-EN055
Hydrogeddon,3,22587018,Common,M,Unlimited,Structure Deck: Dinosaur's Rage,SD09-EN010
"Hydrotortoise, the Empowered Warrior",3,82176812,Common,M,Unlimited,Super Starter: Space-Time Showdown,YS14-EN015
Hyena,3,22873798,Common,M,Unlimited,Dark Revelation Volume 3,DR3-EN137
Hymn of Light,3,80566312,Common,M,Unlimited,Duelist Alliance,DUEA-EN063
Hyozanryu,3,62397231,Common,M,Unlimited,Dark Beginning 1,DB1-EN041
Hyper Hammerhead,3,2671330,Common,M,Unlimited,Battle Pack 2: War of the Giants,BP02-EN024
Hyper Psychic Riser,3,99115354,Common,M,Unlimited,2020 Tin of Lost Memories Mega Pack,MP20-EN019
Hyper Synchron,3,40348946,Common,M,Unlimited,Duelist Pack 9: Yusei 2,DP09-EN005
Hypnocorn,3,20351153,Common,M,Unlimited,Battle Pack 3: Monster League,BP03-EN077
Hysteric Fairy,3,21297224,Common,M,Unlimited,Dark Beginning 1,DB1-EN238
Hysteric Party,3,77778835,Common,M,Unlimited,Legendary Duelists: Season 2,LDS2-EN087
Hysteric Sign,3,19337371,Common,M,Unlimited,Legendary Duelists: Season 2,LDS2-EN083
Ibicella Lutea,3,62411042,Common,M,Unlimited,2021 Tin of Ancient Battles,MP21-EN009
Icarus Attack,3,53567095,Common,M,Unlimited,Enemy of Justice,EOJ-EN055
Ice Hand,3,95929069,Common,M,Unlimited,Dragons of Legend: The Complete Series,DLCS-EN049
Ice Master,3,32750510,Common,M,Unlimited,Legendary Collection 2,LCGX-EN202
Ice Princess Zereort,3,13183454,Common,M,Unlimited,Judgment of the Light,JOTL-EN052
Icejade Acti,3,82777208,Common,M,Unlimited,Burst of Destiny,BODE-EN008
Icejade Tinola,3,28762303,Common,M,Unlimited,Burst of Destiny,BODE-EN009
Icy Breeze Refrain,3,19362568,Common,M,Unlimited,Blazing Vortex,BLVO-EN072
Icy Crevasse,3,20721759,Common,M,Unlimited,Star Pack 2013,SP13-EN037
Igknight Cavalier,3,67273917,Common,M,Unlimited,2016 Mega-Tin Mega Pack,MP16-EN130
Igknight Gallant,3,96802306,Common,M,Unlimited,2016 Mega-Tin Mega Pack,MP16-EN069
Igknight Margrave,3,50407691,Common,M,Unlimited,2016 Mega-Tin Mega Pack,MP16-EN068
Igknight Paladin,3,24019092,Common,M,Unlimited,2016 Mega-Tin Mega Pack,MP16-EN067
Igknight Squire,3,24131534,Common,M,Unlimited,2016 Mega-Tin Mega Pack,MP16-EN065
Igknight Veteran,3,93662626,Common,M,Unlimited,2016 Mega-Tin Mega Pack,MP16-EN131
Igknights Unite,3,38848158,Common,M,Unlimited,2017 Mega-Tin Mega Pack,MP17-EN155
Ignition Beast Volcannon,3,10365322,Common,M,Unlimited,Cosmo Blazer,CBLZ-EN091
Ignition Phoenix,3,79555535,Common,M,Unlimited,2016 Mega-Tin Mega Pack,MP16-EN085
Il Blud,3,70595331,Common,M,Unlimited,Legendary Collection 4: Joey's World,LCJW-EN203
Illusion Balloons,3,62161698,Shatterfoil Rare,M,Unlimited,Star Pack ARC-V,SP15-EN044
Illusion Magic,3,73616671,Common,M,Unlimited,Legendary Duelists: Magical Hero,LED6-EN010
Illusionist Faceless Mage,3,28546905,Common,M,Unlimited,Dark Beginning 2,DB2-EN041
Illusionist Faceless Magician,3,15173384,Common,M,Unlimited,Speed Duel Decks: Match of the Millennium,SS04-ENB13
Illusory Snatcher,3,35073065,Common,M,Unlimited,Structure Deck: Emperor of Darkness,SR01-EN016
Imairuka,3,41952656,Common,M,Unlimited,Speed Duel: Attack from the Deep,SBAD-EN028
Immortal Ruler,3,32485518,Common,M,Unlimited,Structure Deck: Zombie Horde,SR07-EN009
Impcantation Bookstone,3,18474999,Common,M,Unlimited,Soul Fusion,SOFU-EN024
Impcantation Inception,3,86758915,Common,M,Unlimited,Savage Strike,SAST-EN065
Impcantation Penciplume,3,82085295,Common,M,Unlimited,Soul Fusion,SOFU-EN023
Impcantation Thanatosis,3,13482262,Common,M,Unlimited,Dark Neostorm,DANE-EN062
Impenetrable Attack,3,86778566,Common,M,Unlimited,Return of the Duelist,REDU-EN066
Impenetrable Formation,3,96631852,Common,M,Unlimited,The Lost Millennium,TLM-EN048
Imperial Custom,3,9995766,Common,M,Unlimited,Structure Deck: Sacred Beasts,SDSA-EN038
Imperial Iron Wall,3,30459350,Common,M,Unlimited,Structure Deck: Synchron Extreme,SDSE-EN038
Imperial Order,1,61740673,Common,M,Unlimited,Structure Deck: Rokket Revolt,SDRR-EN040
Imperial Tombs of Necrovalley,3,90434657,Common,M,Unlimited,OTS Tournament Pack 9,OP09-EN024
Imprisoned Queen Archfiend,3,52248570,Common,M,Unlimited,Phantom Darkness,PTDN-EN032
Inaba White Rabbit,3,77084837,Common,M,Unlimited,Dark Beginning 2,DB2-EN176
Inari Fire,3,62953041,Common,M,Unlimited,Structure Deck: Master of Pendulum,SDMP-EN018
Incandescent Ordeal,3,33031674,Common,M,Unlimited,Dark Revelation Volume 1,DR1-EN247
Incarnated Machine Angel,3,91946859,Common,M,Unlimited,Legendary Duelists: Season 2,LDS2-EN093
Indomitable Fighter Lei Lei,3,84173492,Common,M,Unlimited,Cybernetic Revolution,CRV-EN023
Indomitable Gladiator Beast,3,55136228,Common,M,Unlimited,Crimson Crisis,CRMS-EN056
Indulged Darklord,3,82773292,Common,M,Unlimited,Rise of the Duelist,ROTD-EN024
Infected Mail,3,6430659,Common,M,Unlimited,Star Pack 2013,SP13-EN033
Infernal Dragon,3,47754278,Common,M,Unlimited,Structure Deck: Lair of Darkness,SR06-EN012
Infernal Incinerator,3,23309606,Common,M,Unlimited,Dark Revelation Volume 4,DR04-EN072
Infernalqueen Archfiend,3,8581705,Common,M,Unlimited,Dark Revelation Volume 1,DR1-EN233
Infernity Archfiend,1,99177923,Common,M,Unlimited,OTS Tournament Pack 2,OP02-EN017
Infernity Beast,3,7264861,Common,M,Unlimited,Speed Duel: Attack from the Deep,SBAD-EN039
Infernity Break,3,51717541,Common,M,Unlimited,The Shining Darkness,TSHD-EN069
Infernity Conjurer,3,48144778,Common,M,Unlimited,Phantom Rage,PHRA-EN016
Infernity Doom Archfiend,3,38904695,Common,M,Unlimited,2021 Tin of Ancient Battles,MP21-EN187
Infernity Dwarf,3,25171661,Common,M,Unlimited,Gold Series 3,GLD3-EN028
Infernity Force,3,18712704,Common,M,Unlimited,Stardust Overdrive,SOVR-EN073
Infernity Guardian,3,51566770,Common,M,Unlimited,Gold Series 3,GLD3-EN029
Infernity Necromancer,3,56209279,Common,M,Unlimited,Duel Terminal 4,DT04-EN052
Infernity Paranoia,3,86547356,Common,M,Unlimited,Phantom Rage,PHRA-EN060
Infernity Patriarch,3,54320860,Common,M,Unlimited,2018 Mega-Tin Mega Pack,MP18-EN096
Infernity Randomizer,3,13582837,Common,M,Unlimited,The Shining Darkness,TSHD-EN013
Infernity Reflector,3,15313433,Common,M,Unlimited,The Shining Darkness,TSHD-EN068
Infernity Suppression,3,12541409,Common,M,Unlimited,Phantom Rage,PHRA-EN075
Infernity Wildcat,3,74148483,Common,M,Unlimited,Phantom Rage,PHRA-EN017
Inferno,3,74823665,Common,M,Unlimited,Structure Deck: Blaze of Destruction,SD3-EN006
Inferno Fire Blast,3,52684508,Common,M,Unlimited,Legendary Decks II,LDK2-ENJ23
Inferno Reckless Summon,3,12247206,Common,M,Unlimited,Structure Deck: Machine Reactor,SR03-EN030
Inferno Tempest,3,14391920,Common,M,Unlimited,Yu-Gi-Oh! Movie Exclusive Pack,EP1-EN007
Infernoble Knight Astolfo,3,95953557,Common,M,Unlimited,Rise of the Duelist,ROTD-EN012
Infernoble Knight Captain Oliver,3,65398390,Common,M,Unlimited,2021 Tin of Ancient Battles,MP21-EN188
Infernoble Knight Captain Roland,3,40251688,Common,M,Unlimited,Rise of the Duelist,ROTD-EN041
Infernoble Knight Maugis,3,94730900,Common,M,Unlimited,Rise of the Duelist,ROTD-EN015
Infernoble Knight Ogier,3,21351206,Common,M,Unlimited,2021 Tin of Ancient Battles,MP21-EN109
Infernoble Knight Oliver,3,58346901,Common,M,Unlimited,2021 Tin of Ancient Battles,MP21-EN110
Infernoid Attondel,3,88301393,Common,M,Unlimited,2015 Mega-Tin Mega Pack,MP15-EN208
Infernoid Piaty,3,25811989,Common,M,Unlimited,2015 Mega-Tin Mega Pack,MP15-EN206
Infernoid Seitsemas,3,51316684,Common,M,Unlimited,2015 Mega-Tin Mega Pack,MP15-EN207
Infernoid Sjette,3,96055137,Common,M,Unlimited,Crossed Souls,CROS-EN031
Infestation Infection,3,35419032,Common,M,Unlimited,Duel Terminal 7,DT07-EN050
Infestation Pandemic,3,27541267,Common,M,Unlimited,Duel Terminal 7,DT07-EN096
Infestation Ripples,3,81218874,Common,M,Unlimited,Duel Terminal 6,DT06-EN049
Infestation Terminus,3,90934570,Common,M,Unlimited,Duel Terminal 7,DT07-EN100
Infestation Tool,3,27207573,Common,M,Unlimited,Duel Terminal 6,DT06-EN050
Infinite Cards,3,94163677,Common,M,Unlimited,Dark Beginning 1,DB1-EN230
Infinite Dismissal,3,54109233,Common,M,Unlimited,Dark Beginning 1,DB1-EN186
Infinitrack Brutal Dozer,3,76830505,Common,M,Unlimited,2020 Tin of Lost Memories Mega Pack,MP20-EN162
Infinitrack Crab Crane,3,98439949,Common,M,Unlimited,2020 Tin of Lost Memories Mega Pack,MP20-EN208
Infinitrack Drag Shovel,3,34923554,Common,M,Unlimited,2020 Tin of Lost Memories Mega Pack,MP20-EN209
Infinitrack Tunneller,3,97316367,Common,M,Unlimited,2020 Tin of Lost Memories Mega Pack,MP20-EN211
Infinity Dark,3,76520646,Common,M,Unlimited,Gladiator's Assault,GLAS-EN027
Influence Dragon,3,54936498,Common,M,Unlimited,Galactic Overlord,GAOV-EN093
Informer Spider,3,4941482,Common,M,Unlimited,Absolute Powerforce,ABPF-EN024
Injection Fairy Lily,3,79575620,Common,M,Unlimited,Gold Series 4: Pyramids Edition,GLD4-EN009
Inpachi,3,97923414,Common,M,Unlimited,Dark Revelation Volume 1,DR1-EN003
Insect Armor with Laser Cannon,3,3492538,Common,M,Unlimited,Speed Duel: Scars of Battle,SBSC-EN021
Insect Barrier,3,23615409,Common,M,Unlimited,Dark Beginning 1,DB1-EN205
Insect Imitation,3,96965364,Common,M,Unlimited,Retro Pack 2,RP02-EN016
Insect Knight,3,35052053,Common,M,Unlimited,Battle Pack: Epic Dawn,BP01-EN115
Insect Neglect,3,22991179,Common,M,Unlimited,Speed Duel Decks: Ultimate Predators,SS03-ENB19
Insect Princess,3,37957847,Common,M,Unlimited,OTS Tournament Pack 7,OP07-EN015
Insect Queen,3,91512835,Common,M,Unlimited,Duelist Pack: Battle City,DPBC-EN026
Inspiration,3,25005816,Common,M,Unlimited,Demo Deck 2015,DEM2-EN020
Instant Fusion,1,1845204,Common,M,Unlimited,Legendary Duelists: Ancient Millennium,LED2-EN048
Instant Neo Space,3,11913700,Common,M,Unlimited,OTS Tournament Pack 9,OP09-EN020
Interceptomato,3,19113101,Common,M,Unlimited,Judgment of the Light,JOTL-EN003
Interdimensional Matter Transporter,3,36261276,Common,M,Unlimited,Speed Duel Decks: Duelists of Tomorrow,SS02-ENA15
Interdimensional Warp,3,57384901,Common,M,Unlimited,Gladiator's Assault,GLAS-EN078
"Interplanetary Invader ""A""",3,14729426,Common,M,Unlimited,Light of Destruction,LODT-EN034
Interplanetarypurplythorny Beast,3,80208323,Common,M,Unlimited,Legacy of the Valiant,LVAL-EN098
Interplanetarypurplythorny Dragon,3,25206027,Common,M,Unlimited,Starter Deck: Kaiba Reloaded,YSKR-EN027
Interrupt Resistor,3,2414168,Common,M,Unlimited,2019 Gold Sarcophagus Tin Mega Pack,MP19-EN149
Intrigue Shield,3,23122036,Common,M,Unlimited,Shadow Specters,SHSP-EN072
Introduction to Gallantry,3,69091732,Common,M,Unlimited,Force of the Breaker,FOTB-EN053
Invader from Another Dimension,3,28450915,Common,M,Unlimited,Astral Pack 7,AP07-EN014
Invader of Darkness,3,56647086,Common,M,Unlimited,Legendary Collection 3: Yugi's World,LCYW-EN251
Invader of the Throne,3,3056267,Common,M,Unlimited,Dark Beginning 1,DB1-EN013
Invasion of Flames,3,26082229,Common,M,Unlimited,Rise of Destiny,RDS-EN024
Inverse Universe,3,79161790,Common,M,Unlimited,Absolute Powerforce,ABPF-EN080
Invigoration,3,98374133,Common,M,Unlimited,Starter Deck: Kaiba,SDK-021
Invincibility Barrier,3,17722185,Common,M,Unlimited,Soul Fusion,SOFU-EN076
Inzektor Ant,3,95395761,Common,M,Unlimited,Order of Chaos,ORCS-EN018
Inzektor Centipede,3,21790410,Common,M,Unlimited,Order of Chaos,ORCS-EN019
Inzektor Dragonfly,3,68184115,Common,M,Unlimited,OTS Tournament Pack 17,OP17-EN019
Inzektor Earwig,3,38450736,Common,M,Unlimited,Galactic Overlord,GAOV-EN030
Inzektor Firefly,3,66066482,Common,M,Unlimited,Galactic Overlord,GAOV-EN028
Inzektor Gauntlet,3,259314,Common,M,Unlimited,Galactic Overlord,GAOV-EN074
Inzektor Giga-Weevil,3,21977828,Common,M,Unlimited,Order of Chaos,ORCS-EN022
Inzektor Ladybug,3,2461031,Common,M,Unlimited,Galactic Overlord,GAOV-EN029
Inzektor Picofalena,3,97273514,Common,M,Unlimited,2019 Gold Sarcophagus Tin Mega Pack,MP19-EN067
Iron Blacksmith Kotetsu,3,73431236,Common,M,Unlimited,Speed Duel: Scars of Battle,SBSC-EN034
Iron Call,3,64662453,Common,M,Unlimited,Duel Terminal 7,DT07-EN093
Iron Chain Blaster,3,26157485,Common,M,Unlimited,Crossroads of Chaos,CSOC-EN019
Iron Chain Coil,3,53152590,Common,M,Unlimited,Crossroads of Chaos,CSOC-EN020
Iron Chain Snake,3,80769747,Common,M,Unlimited,Crossroads of Chaos,CSOC-EN018
Iron Core Armor,3,20457551,Common,M,Unlimited,Stardust Overdrive,SOVR-EN053
Iron Core Immediate Disposal,3,63018036,Common,M,Unlimited,Raging Battle,RGBT-EN056
Iron Core Luster,3,34545235,Common,M,Unlimited,Ancient Prophecy,ANPR-EN074
Iron Core of Koa'ki Meiru,3,36623431,Common,M,Unlimited,Turbo Pack: Booster Two,TU02-EN020
Iron Draw,3,34559295,Common,M,Unlimited,Speed Duel: Trials of the Kingdom,SBTK-EN038
Ironhammer the Giant,3,79185500,Common,M,Unlimited,Duel Terminal 7,DT07-EN054
Island Turtle,3,4042268,Common,M,Unlimited,Starter Deck: Joey,SDJ-005
"Isolde, Belle of the Underworld",3,22657402,Common,M,Unlimited,Structure Deck: Zombie Horde,SR07-EN017
Ivy Shackles,3,14730606,Common,M,Unlimited,Legendary Collection 5D's,LC5D-EN105
Jabbing Panda,3,36539330,Common,M,Unlimited,2021 Tin of Ancient Battles,MP21-EN219
Jack Wyvern,3,23850421,Common,M,Unlimited,2018 Mega-Tin Mega Pack,MP18-EN042
Jack's Knight,3,90876561,Common,M,Unlimited,Duelist Pack: Battle City,DPBC-EN012
Jack-In-The-Hand,3,51697825,Common,M,Unlimited,Phantom Rage,PHRA-EN067
Jack-o-Bolan,3,36016907,Common,M,Unlimited,2021 Tin of Ancient Battles,MP21-EN008
Jackpot 7,3,81171949,Common,M,Unlimited,Primal Origin,PRIO-EN068
Jade Insect Whistle,3,95214051,Common,M,Unlimited,Dark Revelation Volume 2,DR2-EN101
Jade Knight,3,44364207,Common,M,Unlimited,Speed Duel: Battle City Box,SBCB-EN069
"Jain, Lightsworn Paladin",3,96235275,Common,M,Unlimited,Light of Destruction,LODT-EN018
"Jain, Twilightsworn General",3,84673417,Common,M,Unlimited,2018 Mega-Tin Mega Pack,MP18-EN050
Jam Breeding Machine,3,21770260,Common,M,Unlimited,Legendary Collection 4: Joey's World,LCJW-EN124
Jam Defender,3,21558682,Common,M,Unlimited,Legendary Collection 4: Joey's World,LCJW-EN131
Jar of Avarice,3,98954106,Common,M,Unlimited,Structure Deck: Machine Reactor,SR03-EN033
Jar of Generosity,3,22454453,Common,M,Unlimited,Dawn of Majesty,DAMA-EN080
Jar of Greed,3,83968380,Common,M,Unlimited,Speed Duel Decks: Destiny Masters,SS01-ENC16
Jar Robber,3,33784505,Common,M,Unlimited,Magician's Force,MFC-091
Jar Turtle,3,96287685,Common,M,Unlimited,Extreme Victory,EXVC-EN035
Jelly Cannon,3,41440817,Common,M,Unlimited,2020 Tin of Lost Memories Mega Pack,MP20-EN197
"Jenis, Lightsworn Mender",3,83725008,Common,M,Unlimited,The Duelist Genesis,TDGS-EN025
Jerry Beans Man,3,23635815,Common,M,Unlimited,Cybernetic Revolution,CRV-EN004
Jester Confit,3,8487449,Common,M,Unlimited,Structure Deck: Cyberse Link,SDCL-EN020
Jester Lord,3,72992744,Common,M,Unlimited,Duel Terminal 4,DT04-EN001
Jet Synchron,0,9742784,Common,M,Unlimited,Legendary Duelists: Magical Hero,LED6-EN030
Jetroid,3,43697559,Common,M,Unlimited,Cybernetic Revolution,CRV-EN011
Jewels of the Valiant,3,72710085,Common,M,Unlimited,Lord of the Tachyon Galaxy,LTGY-EN067
Jigabyte,3,40894584,Common,M,Unlimited,Structure Deck: Master of Pendulum,SDMP-EN020
Jigen Bakudan,3,90020065,Common,M,Unlimited,Starter Deck: Pegasus,SDP-012
Jinzo,3,77585513,Common,M,Unlimited,Legendary Decks II,LDK2-ENJ10
Jinzo #7,3,32809211,Common,M,Unlimited,Dark Beginning 1,DB1-EN162
Jinzo - Jector,3,51916032,Common,M,Unlimited,Legendary Duelists: Rage of Ra,LED7-EN041
Jinzo - Lord,3,35803249,Common,M,Unlimited,Legendary Duelists: Rage of Ra,LED7-EN040
Jinzo - Returner,3,9418534,Common,M,Unlimited,Legendary Duelists: Rage of Ra,LED7-EN039
Jirai Gumo,3,94773007,Common,M,Unlimited,Dark Beginning 2,DB2-EN054
"Jizukiru, the Star Destroying Kaiju",3,63941210,Common,M,Unlimited,Structure Deck: Cyber Strike,SDCS-EN019
Jowgen the Spiritualist,3,41855169,Common,M,Unlimited,Tournament Pack 5,TP5-EN011
Jowls of Dark Demise,3,5257687,Common,M,Unlimited,Dark Beginning 2,DB2-EN212
Joyous Melffys,3,53054164,Common,M,Unlimited,2021 Tin of Ancient Battles,MP21-EN194
Judge Man,3,30113682,Common,M,Unlimited,Starter Deck: Kaiba,SDK-007
Judge of the Ice Barrier,3,53535814,Common,M,Unlimited,Lightning Overdrive,LIOV-EN020
Judgment Dragon,3,57774843,Common,M,Unlimited,Ra Yellow Mega Pack,RYMP-EN104
Judgment of Anubis,3,55256016,Common,M,Unlimited,Speed Duel: Battle City Box,SBCB-EN194
Judgment of the Branded,3,93595154,Common,M,Unlimited,Lightning Overdrive,LIOV-EN069
Judgment of the Desert,3,4869446,Common,M,Unlimited,Dark Revelation Volume 2,DR2-EN216
Judgment of Thunder,3,85080048,Common,M,Unlimited,The Duelist Genesis,TDGS-EN077
Jumbo Drill,3,42851643,Common,M,Unlimited,Star Pack 2014,SP14-EN014
Junk Barrage,3,79068663,Common,M,Unlimited,Duelist Pack 8: Yusei Fudo,DP08-EN019
Junk Blader,3,51855378,Common,M,Unlimited,Judgment of the Light,JOTL-EN091
Junk Box,3,37745919,Common,M,Unlimited,Raging Battle,RGBT-EN052
Junk Breaker,3,43436049,Common,M,Unlimited,2018 Mega-Tin Mega Pack,MP18-EN095
Junk Defender,3,68120130,Common,M,Unlimited,Legendary Collection 5D's,LC5D-EN023
Junk Forward,3,56410040,Common,M,Unlimited,Battle Pack 2: War of the Giants: Round 2,BPW2-EN046
Junk Puppet,3,67968069,Common,M,Unlimited,Legendary Duelists: Immortal Destiny,LED5-EN044
Junk Servant,3,78922939,Common,M,Unlimited,Legendary Collection 5D's,LC5D-EN021
Junk Sleep,3,56294501,Common,M,Unlimited,Rise of the Duelist,ROTD-EN080
Junk Synchron,3,63977008,Common,M,Unlimited,5D's Starter Deck 2009,5DS2-EN014
Junk Warrior,3,60800381,Common,M,Unlimited,5D's Starter Deck 2009,5DS2-EN042
Juragedo,3,59546797,Common,M,Unlimited,Legendary Duelists: Rage of Ra,LED7-EN009
Jurassic World,3,10080320,Common,M,Unlimited,Legendary Collection 4: Joey's World,LCJW-EN163
Jurrac Aeolo,3,80727721,Common,M,Unlimited,Duel Terminal 4,DT04-EN027
Jurrac Brachis,3,8594079,Common,M,Unlimited,Duel Terminal 3,DT03-EN015
Jurrac Dino,3,17948378,Common,M,Unlimited,Duel Terminal 4,DT04-EN025
Jurrac Gallim,3,43332022,Common,M,Unlimited,Duel Terminal 4,DT04-EN026
Jurrac Guaiba,3,11012887,Common,M,Unlimited,Duel Terminal 3,DT03-EN068
Jurrac Impact,3,5479217,Common,M,Unlimited,Astral Pack 5,AP05-EN026
Jurrac Monoloph,3,36717258,Common,M,Unlimited,Duel Terminal 2,DT02-EN067
Jurrac Protops,3,23927545,Common,M,Unlimited,Battle Pack: Epic Dawn,BP01-EN156
Jurrac Ptera,3,45711266,Common,M,Unlimited,Duel Terminal 3,DT03-EN013
Jurrac Spinos,3,44689688,Common,M,Unlimited,Speed Duel: Trials of the Kingdom,SBTK-EN023
Jurrac Stauriko,3,48411996,Common,M,Unlimited,Duel Terminal 3,DT03-EN069
Jurrac Tyrannus,3,62701967,Common,M,Unlimited,Speed Duel: Scars of Battle,SBSC-EN018
Just Desserts,3,24068492,Common,M,Unlimited,Starter Deck: Kaiba Evolution,SKE-043
Justi-Break,3,62271284,Common,M,Unlimited,Cyberdark Impact,CDIP-EN051
Justice of Prophecy,3,26732909,Common,M,Unlimited,Astral Pack 2,AP02-EN017
Jutte Fighter,3,60410769,Common,M,Unlimited,The Duelist Genesis,TDGS-EN012
KA-2 Des Scissors,3,52768103,Common,M,Unlimited,Ancient Sanctuary,AST-019
Kabazauls,3,51934376,Common,M,Unlimited,Dark Revelation Volume 1,DR1-EN002
Kagemucha Knight,3,19353570,Common,M,Unlimited,Legendary Hero Decks,LEHD-ENC10
Kagemusha of the Six Samurai,3,1498130,Common,M,Unlimited,Storm of Ragnarok,STOR-EN025
Kageningen,3,80600490,Common,M,Unlimited,Legendary Collection 4: Joey's World,LCJW-EN014
Kagetokage,3,94656263,Common,M,Unlimited,OTS Tournament Pack 5,OP05-EN018
